County,State,Age.Percent 65 and Older,Income.Per Capita Income
Carroll County,TN,20.6,22394
Carroll County,VA,25.4,25449
Carson City,NV,19.8,31549
Carson County,TX,21.1,34708
Carter County,KY,19.4,18778
Carter County,MO,20.9,22104
Carter County,MT,26.1,28577
Carter County,OK,17.2,26094
Carter County,TN,22.4,23205
Carteret County,NC,25.7,33722
Carver County,MN,12.6,47221
Cascade County,MT,19.1,30110
Casey County,KY,20.4,18457
Cass County,IA,23.5,28302
Cass County,IL,18.3,26992
Cass County,IN,18.3,24948
Cass County,MI,21.5,31295
Cass County,MN,26.5,30326
Cass County,MO,17.3,32868
Cass County,ND,12.5,37620
Cass County,NE,18.1,33851
Cass County,TX,22.8,23075
Cassia County,ID,14.5,21687
Castro County,TX,16.4,21884
Caswell County,NC,22.1,23901
Catahoula Parish,LA,17.9,22412
Catawba County,NC,18.3,28224
Catoosa County,GA,18.2,27308
Catron County,NM,43.3,21989
Cattaraugus County,NY,19.7,25822
Cavalier County,ND,27.4,43457
Cayuga County,NY,19.8,30509
Cecil County,MD,16.2,34810
Cedar County,IA,20.3,32268
Cedar County,MO,23.7,22623
Cedar County,NE,22,30163
Centre County,PA,14.9,30753
Cerro Gordo County,IA,22.3,32757
Chaffee County,CO,26,29827
Chambers County,AL,20.2,22729
Chambers County,TX,12,35916
Champaign County,IL,13.3,30578
Champaign County,OH,18.5,27722
Chariton County,MO,24.3,23903
Charles City County,VA,25.5,35304
Charles County,MD,12.9,41717
Charles Mix County,SD,18.6,22347
Charleston County,SC,17,39914
Charlevoix County,MI,25.1,33620
Charlotte County,FL,40.8,32144
Charlotte County,VA,22.6,22018
Charlottesville city,VA,11.3,38328
Charlton County,GA,15.8,18323
Chase County,KS,25.9,23055
Chase County,NE,21.3,30080
Chatham County,GA,16,32229
Chatham County,NC,25,40967
Chattahoochee County,GA,4.9,23769
Chattooga County,GA,17.6,18715
Chautauqua County,KS,27.8,22962
Chautauqua County,NY,20.7,26165
Chaves County,NM,16.1,22041
Cheatham County,TN,15.5,27893
Cheboygan County,MI,28.1,26393
Chelan County,WA,19.6,30870
Chemung County,NY,19.5,28778
Chenango County,NY,20.9,27708
Cherokee County,AL,23.5,24301
Cherokee County,GA,14.5,36503
Cherokee County,IA,24.7,32999
Cherokee County,KS,19.7,22615
Cherokee County,NC,30.5,23902
Cherokee County,OK,17,22161
Cherokee County,SC,17.1,21152
Cherokee County,TX,17.9,22391
Cherry County,NE,22.1,29415
Chesapeake city,VA,13,35536
Cheshire County,NH,20.7,33946
Chester County,PA,16.8,50927
Chester County,SC,19.2,22324
Chester County,TN,17.3,22629
Chesterfield County,SC,19,21325
Chesterfield County,VA,15.4,37658
Cheyenne County,CO,21,29081
Cheyenne County,KS,27.3,29041
Cheyenne County,NE,20.6,31294
Chickasaw County,IA,21.2,31095
Chickasaw County,MS,17.5,19926
Chicot County,AR,21.1,20232
Childress County,TX,15.9,21233
Chilton County,AL,17.1,24658
Chippewa County,MI,18.8,25086
Chippewa County,MN,21.8,30772
Chippewa County,WI,18.4,29991
Chisago County,MN,15.8,35021
Chittenden County,VT,15.6,39062
Choctaw County,AL,23.6,22308
Choctaw County,MS,22.3,22257
Choctaw County,OK,21.1,21277
Chouteau County,MT,21.2,23769
Chowan County,NC,25.3,26256
Christian County,IL,20.2,27361
Christian County,KY,12.7,23021
Christian County,MO,16.1,28216
Churchill County,NV,19.1,28462
Cibola County,NM,16.8,20018
Cimarron County,OK,25.4,29115
Citrus County,FL,36.7,26989
Clackamas County,OR,18.8,41492
Claiborne County,MS,16.7,14320
Claiborne County,TN,20.3,21566
Claiborne Parish,LA,19.5,16770
Clallam County,WA,30.5,30283
Clare County,MI,24.1,22573
Clarendon County,SC,24.2,22824
Clarion County,PA,20.3,25157
Clark County,AR,16.8,21337
Clark County,ID,19.4,18860
Clark County,IL,20.2,30796
Clark County,IN,16.2,29062
Clark County,KS,21.5,28227
Clark County,KY,18.2,28802
Clark County,MO,21.5,26490
Clark County,NV,15.1,30704
Clark County,OH,19.7,27066
Clark County,SD,21.8,30991
Clark County,WA,16,35860
Clark County,WI,17,25382
Clarke County,AL,20.5,22225
Clarke County,GA,11.3,23827
Clarke County,IA,19.2,27416
Clarke County,MS,20.8,23988
Clarke County,VA,21.8,41332
Clatsop County,OR,23.4,29757
Clay County,AL,21,23519
Clay County,AR,21.9,22505
Clay County,FL,16.3,30483
Clay County,GA,27.3,17036
Clay County,IA,21.1,28747
Clay County,IL,20.8,26815
Clay County,IN,18.2,26257
Clay County,KS,23.5,29235
Clay County,KY,15.6,15391
Clay County,MN,13.4,30768
Clay County,MO,14.4,34560
Clay County,MS,18.9,20599
Clay County,NC,31.9,28467
Clay County,NE,20.4,27539
Clay County,SD,12.6,28192
Clay County,TN,25.3,18983
Clay County,TX,23.7,29159
Clay County,WV,21.2,17239
Clayton County,GA,9.6,20970
Clayton County,IA,24.4,28294
Clear Creek County,CO,21.3,39203
Clearfield County,PA,21,24403
Clearwater County,ID,28,23412
Clearwater County,MN,20.5,27178
Cleburne County,AL,20.2,23142
Cleburne County,AR,27.2,27227
Clermont County,OH,16.9,34390
Cleveland County,AR,21.4,24225
Cleveland County,NC,19,22589
Cleveland County,OK,13.8,31571
Clinch County,GA,16.8,15152
Clinton County,IA,19.9,28483
Clinton County,IL,18,31783
Clinton County,IN,16.8,24489
Clinton County,KY,19.7,21019
Clinton County,MI,17.5,34761
Clinton County,MO,18.2,29081
Clinton County,NY,17.7,27761
Clinton County,OH,17.6,26690
Clinton County,PA,19.2,25794
Cloud County,KS,21.6,27279
Coahoma County,MS,16,18985
Coal County,OK,21,24055
Cobb County,GA,12.7,40031
Cochise County,AZ,23.1,26819
Cochran County,TX,16.4,21463
Cocke County,TN,21.6,21867
Coconino County,AZ,13,27339
Codington County,SD,18.3,30043
Coffee County,AL,17.3,27806
Coffee County,GA,14.1,19905
Coffee County,TN,17.4,26557
Coffey County,KS,21.9,33371
Coke County,TX,28,25285
Colbert County,AL,20,25536
Cole County,MO,17.3,30422
Coleman County,TX,25.9,27752
Coles County,IL,17.5,28084
Colfax County,NE,13.8,23603
Colfax County,NM,27.4,24035
Colleton County,SC,20.7,21377
Collier County,FL,32.9,45567
Collin County,TX,11.3,44548
Collingsworth County,TX,19,25681
Colonial Heights city,VA,20.4,28364
Colorado County,TX,22.6,29552
Colquitt County,GA,16.1,20529
Columbia County,AR,17.7,21189
Columbia County,FL,19.3,24275
Columbia County,GA,14,34579
Columbia County,NY,24.4,38268
Columbia County,OR,19.2,31883
Columbia County,PA,20.1,26787
Columbia County,WA,28.5,36551
Columbia County,WI,18.4,34984
Columbiana County,OH,21.2,26469
Columbus County,NC,20.6,22608
Colusa County,CA,14.9,26932
Comal County,TX,18.3,38991
Comanche County,KS,25.5,30355
Comanche County,OK,12.9,26449
Comanche County,TX,24.4,26728
Concho County,TX,25.3,21420
Concordia Parish,LA,17.8,19092
Conecuh County,AL,23.5,19769
Conejos County,CO,19.9,20640
Contra Costa County,CA,16.3,48178
Converse County,WY,17.2,33693
Conway County,AR,19.7,25158
Cook County,GA,16.8,20128
Cook County,IL,15.1,37552
Cook County,MN,29.3,33194
Cooke County,TX,18.9,30704
Cooper County,MO,18.3,23961
Coos County,NH,24.2,27393
Coos County,OR,26.5,27582
Coosa County,AL,24.1,23694
Copiah County,MS,18.3,20093
Corson County,SD,12,16449
Cortland County,NY,16.9,28229
Coryell County,TX,10.6,22400
Coshocton County,OH,19.8,23432
Costilla County,CO,26.9,21732
Cottle County,TX,24.2,19797
Cotton County,OK,20.5,23564
Cottonwood County,MN,23.1,27459
Covington County,AL,21.4,23687
Covington County,MS,17.2,19180
Covington city,VA,20.2,25309
Coweta County,GA,14.3,33875
Cowley County,KS,18.8,24726
Cowlitz County,WA,19.3,28876
Craig County,OK,20.1,21318
Craig County,VA,24.1,30103
Craighead County,AR,14,26948
Crane County,TX,12.4,27893
Craven County,NC,19.7,29521
Crawford County,AR,17.2,24547
Crawford County,GA,19.4,23204
Crawford County,IA,17.9,29196
Crawford County,IL,19.4,26546
Crawford County,IN,20.1,22443
Crawford County,KS,15.8,23091
Crawford County,MI,25.8,26294
Crawford County,MO,20.1,22220
Crawford County,OH,21.4,25744
Crawford County,PA,21.2,26582
Crawford County,WI,24,27615
Creek County,OK,18.2,26044
Crenshaw County,AL,19.4,24563
Crisp County,GA,19.3,22933
Crittenden County,AR,14.5,23172
Crittenden County,KY,21.3,23959
Crockett County,TN,19.2,23771
Crockett County,TX,17.7,26178
Crook County,OR,25.2,27007
Crook County,WY,21.1,29532
Crosby County,TX,18.9,19443
Cross County,AR,19.3,25380
Crow Wing County,MN,23,32368
Crowley County,CO,14,15517
Culberson County,TX,22.1,15109
Cullman County,AL,18.8,23468
Culpeper County,VA,16,32028
Cumberland County,IL,20.4,27812
Cumberland County,KY,22.8,18728
Cumberland County,ME,19,40527
Cumberland County,NC,12.2,24936
Cumberland County,NJ,15.6,25694
Cumberland County,PA,18.8,37500
Cumberland County,TN,31.2,25832
Cumberland County,VA,23.1,25138
Cuming County,NE,22.4,29765
Currituck County,NC,16.4,31849
Curry County,NM,12.8,23021
Curry County,OR,35,30021
Custer County,CO,33,29258
Custer County,ID,30.1,23805
Custer County,MT,20.7,30504
Custer County,NE,22.7,33561
Custer County,OK,14.1,26520
Custer County,SD,31.7,33649
Cuyahoga County,OH,18.6,33114
Dade County,GA,20.1,24000
Dade County,MO,23.9,23186
Daggett County,UT,27.3,29574
Dakota County,MN,14.7,41552
Dakota County,NE,13.9,25269
Dale County,AL,17.3,24645
Dallam County,TX,11.8,27491
Dallas County,AL,18.9,19612
Dallas County,AR,24.4,20517
Dallas County,IA,12.1,45090
Dallas County,MO,20.8,23647
Dallas County,TX,11.1,32653
Dane County,WI,14.2,40614
Daniels County,MT,28.3,35133
Danville city,VA,20.3,22826
Dare County,NC,22.2,34578
Darke County,OH,19.9,27855
Darlington County,SC,19.5,23027
Dauphin County,PA,17.4,33639
Davidson County,NC,18.5,25988
Davidson County,TN,12.5,36440
Davie County,NC,21.7,31173
Daviess County,IN,15.4,23848
Daviess County,KY,17.3,28806
Daviess County,MO,21.2,24929
Davis County,IA,17.7,29387
Davis County,UT,10.3,31205
Davison County,SD,19.1,31560
Dawes County,NE,19,25383
Dawson County,GA,20.2,34239
Dawson County,MT,20.4,31658
Dawson County,NE,17.2,25956
Dawson County,TX,14.9,20084
Day County,SD,26.2,29808
De Baca County,NM,28.7,17376
De Soto Parish,LA,18.3,26767
De Witt County,IL,19.8,30729
DeKalb County,AL,17.6,21907
DeKalb County,GA,12.9,36077
DeKalb County,IL,12.9,29430
DeKalb County,IN,16.6,29073
DeKalb County,MO,16.6,20125
