County,State,Age.Percent 65 and Older,Income.Per Capita Income
Sioux County,ND,8.5,15649
Sioux County,NE,30.5,28646
Siskiyou County,CA,26.1,28615
Sitka City and Borough,AK,16.1,39615
Skagit County,WA,21.5,33168
Skagway Municipality,AK,15.8,39453
Skamania County,WA,22.1,32221
Slope County,ND,23.7,33798
Smith County,KS,28,28994
Smith County,MS,20.5,23698
Smith County,TN,17.3,28797
Smith County,TX,16.9,28483
Smyth County,VA,22.6,21605
Snohomish County,WA,14,39527
Snyder County,PA,19.5,27482
Socorro County,NM,20.1,18948
Solano County,CA,16.3,35400
Somerset County,MD,17.3,18772
Somerset County,ME,21.3,24386
Somerset County,NJ,16.2,55828
Somerset County,PA,23,25781
Somervell County,TX,19.4,29449
Sonoma County,CA,20.7,42178
Southampton County,VA,20.8,26600
Southeast Fairbanks Census Area,AK,15.6,32193
Spalding County,GA,18.3,24582
Spartanburg County,SC,16.4,27240
Spencer County,IN,20,31287
Spencer County,KY,14.6,33661
Spink County,SD,21.2,35393
Spokane County,WA,16.6,31146
Spotsylvania County,VA,14.7,37212
St. Bernard Parish,LA,12,20763
St. Charles County,MO,15.8,38943
St. Charles Parish,LA,14.1,32935
St. Clair County,AL,16.9,26409
St. Clair County,IL,16.4,30807
St. Clair County,MI,19.4,30703
St. Clair County,MO,27.6,22520
St. Croix County,WI,14.7,39287
St. Francis County,AR,16.8,18447
St. Francois County,MO,16.6,22578
St. Helena Parish,LA,20.6,24380
St. James Parish,LA,17.7,26739
St. John the Baptist Parish,LA,14.7,25968
St. Johns County,FL,20.6,43194
St. Joseph County,IN,16.2,28215
St. Joseph County,MI,18.5,26248
St. Landry Parish,LA,16.6,21162
St. Lawrence County,NY,18,25378
St. Louis County,MN,20.1,31537
St. Louis County,MO,18.5,41426
St. Louis city,MO,13.1,30542
St. Lucie County,FL,24.7,27121
St. Martin Parish,LA,15.7,24997
St. Mary Parish,LA,17,22839
St. Mary's County,MD,13.4,40354
St. Tammany Parish,LA,17.5,34658
Stafford County,KS,23.1,28060
Stafford County,VA,10.7,42126
Stanislaus County,CA,13.4,26258
Stanley County,SD,20.4,42838
Stanly County,NC,19.3,25863
Stanton County,KS,17.3,23033
Stanton County,NE,18.7,29117
Stark County,IL,22.8,30018
Stark County,ND,13.9,38103
Stark County,OH,19.9,29495
Starke County,IN,19,24673
Starr County,TX,11.4,14179
Staunton city,VA,21,30166
Ste. Genevieve County,MO,20.1,29742
Stearns County,MN,15.5,30994
Steele County,MN,18.3,32477
Steele County,ND,25.2,39011
Stephens County,GA,19.8,23546
Stephens County,OK,20.3,25769
Stephens County,TX,20.2,25015
Stephenson County,IL,23.4,27911
Sterling County,TX,14.4,28757
Steuben County,IN,21,29949
Steuben County,NY,20.1,29886
Stevens County,KS,16.7,24652
Stevens County,MN,17.4,32542
Stevens County,WA,23.9,26896
Stewart County,GA,15,16705
Stewart County,TN,20.7,24113
Stillwater County,MT,23.5,32301
Stoddard County,MO,20.3,22138
Stokes County,NC,21.8,26279
Stone County,AR,27.9,20695
Stone County,MO,31.6,29026
Stone County,MS,16.8,23820
Stonewall County,TX,26.7,25638
Storey County,NV,32.2,37941
Story County,IA,12.6,29539
Strafford County,NH,15.4,35601
Stutsman County,ND,19.9,31991
Sublette County,WY,20.5,35874
Suffolk County,MA,12.3,42765
Suffolk County,NY,17.3,44465
Suffolk city,VA,14.2,34940
Sullivan County,IN,18.5,24356
Sullivan County,MO,20.8,22370
Sullivan County,NH,22.1,33042
Sullivan County,NY,19.3,30446
Sullivan County,PA,29,30375
Sullivan County,TN,22.2,28429
Sully County,SD,26.1,39226
Summers County,WV,26.1,21437
Summit County,CO,14.3,41281
Summit County,OH,18.5,33606
Summit County,UT,13.4,56575
Sumner County,KS,19.2,26954
Sumner County,TN,16.2,33851
Sumter County,AL,18.7,16799
Sumter County,FL,58.2,35560
Sumter County,GA,17.5,20654
Sumter County,SC,16.9,23460
Sunflower County,MS,14.4,15646
Surry County,NC,20.8,25500
Surry County,VA,23.9,30260
Susquehanna County,PA,24.3,31309
Sussex County,DE,28.7,35491
Sussex County,NJ,18,44728
Sussex County,VA,18.6,21652
Sutter County,CA,15.6,27371
Sutton County,TX,19.1,26904
Suwannee County,FL,21.7,22808
Swain County,NC,19.6,23139
Sweet Grass County,MT,27.4,30050
Sweetwater County,WY,13,32603
Swift County,MN,22.4,31765
Swisher County,TX,17.6,19697
Switzerland County,IN,17.4,24944
Talbot County,GA,25.5,21357
Talbot County,MD,29.7,49136
Taliaferro County,GA,28,21416
Talladega County,AL,18.5,23305
Tallahatchie County,MS,15.3,16742
Tallapoosa County,AL,22.3,25217
Tama County,IA,19.9,28585
Taney County,MO,22.1,23776
Tangipahoa Parish,LA,14.9,25163
Taos County,NM,27.5,25646
Tarrant County,TX,11.6,33292
Tate County,MS,17.2,23340
Tattnall County,GA,15,18319
Taylor County,FL,21,17391
Taylor County,GA,20.9,21298
Taylor County,IA,22.7,29778
Taylor County,KY,18.3,23602
Taylor County,TX,14.6,27162
Taylor County,WI,19.6,27506
Taylor County,WV,21,25214
Tazewell County,IL,19.3,33507
Tazewell County,VA,23.1,23738
Tehama County,CA,19.6,24301
Telfair County,GA,18.8,17202
Teller County,CO,23.2,35703
Tensas Parish,LA,25.7,15912
Terrebonne Parish,LA,14.9,25924
Terrell County,GA,20.1,20045
Terrell County,TX,32.9,25687
Terry County,TX,15.1,20627
Teton County,ID,13.1,31191
Teton County,MT,23.2,28022
Teton County,WY,15.8,54051
Texas County,MO,21.5,19973
Texas County,OK,11.8,22003
Thayer County,NE,25.5,29632
Thomas County,GA,18.7,27454
Thomas County,KS,18.1,30442
Thomas County,NE,26.5,36572
Throckmorton County,TX,29.6,30463
Thurston County,NE,11.8,20141
Thurston County,WA,17.9,35169
Tift County,GA,15.4,22974
Tillamook County,OR,26.4,27659
Tillman County,OK,20.2,21974
Tioga County,NY,20.9,31822
Tioga County,PA,22.6,26301
Tippah County,MS,16.9,19501
Tippecanoe County,IN,11.9,27451
Tipton County,IN,21.4,31025
Tipton County,TN,14.9,28457
Tishomingo County,MS,20.8,20390
Titus County,TX,14.8,21730
Todd County,KY,16.2,23143
Todd County,MN,22.1,26678
Todd County,SD,7.5,10739
Tolland County,CT,16.3,41371
Tom Green County,TX,15.6,29505
Tompkins County,NY,15.1,33075
Tooele County,UT,9.3,25949
Toole County,MT,19.4,27528
Toombs County,GA,17,24399
Torrance County,NM,21.5,20876
Towner County,ND,25.3,37239
Towns County,GA,34.9,25972
Traill County,ND,20,33321
Transylvania County,NC,31.4,29549
Traverse County,MN,25.4,32548
Travis County,TX,10.2,43658
Treasure County,MT,28.9,29763
Trego County,KS,27.3,34230
Trempealeau County,WI,18.4,28902
Treutlen County,GA,18.7,21830
Trigg County,KY,23.2,28264
Trimble County,KY,17.8,27237
Trinity County,CA,28.3,26523
Trinity County,TX,27,25026
Tripp County,SD,22.8,27036
Troup County,GA,15.2,23124
Trousdale County,TN,13,24795
Trumbull County,OH,22.1,26935
Tucker County,WV,26.8,25686
Tulare County,CA,11.6,21380
Tulsa County,OK,14.8,32044
Tunica County,MS,12.9,20579
Tuolumne County,CA,27,34702
Turner County,GA,20,19527
Turner County,SD,21.4,30677
Tuscaloosa County,AL,13.8,26789
Tuscarawas County,OH,20,27057
Tuscola County,MI,20.8,25996
Twiggs County,GA,23.3,20979
Twin Falls County,ID,15.6,25352
Tyler County,TX,22.6,20249
Tyler County,WV,23.4,24924
Tyrrell County,NC,20.2,19743
Uinta County,WY,15,28159
Uintah County,UT,11.3,25759
Ulster County,NY,20.4,34834
Umatilla County,OR,16,24444
Unicoi County,TN,23.3,23455
Union County,AR,18.4,25193
Union County,FL,15.2,17010
Union County,GA,33.7,28953
Union County,IA,21,27750
Union County,IL,21.9,25879
Union County,IN,19.7,25661
Union County,KY,17.2,23097
Union County,MS,16.9,21705
Union County,NC,13,36362
Union County,NJ,14.7,41603
Union County,NM,21.9,22116
Union County,OH,12.7,37384
Union County,OR,21.5,27646
Union County,PA,18.6,27079
Union County,SC,20.6,23470
Union County,SD,18.6,42411
Union County,TN,18.6,24010
Union Parish,LA,21.1,24030
Upshur County,TX,18.7,25285
Upshur County,WV,21,24070
Upson County,GA,18.5,21747
Upton County,TX,14.7,25447
Utah County,UT,7.9,26215
Uvalde County,TX,16.9,20329
Val Verde County,TX,14.3,21370
Valencia County,NM,18.2,23675
Valley County,ID,25.9,33709
Valley County,MT,23.7,27946
Valley County,NE,25.8,29378
Van Buren County,AR,26.7,22168
Van Buren County,IA,22.5,27252
Van Buren County,MI,18.7,28049
Van Buren County,TN,23.4,20634
Van Wert County,OH,19.4,27115
Van Zandt County,TX,20.3,27900
Vance County,NC,19.1,23049
Vanderburgh County,IN,17.4,29638
Venango County,PA,23.1,26969
Ventura County,CA,16.2,38595
Vermilion County,IL,19.8,25307
Vermilion Parish,LA,15.8,25342
Vermillion County,IN,20.3,26493
Vernon County,MO,19.7,24312
Vernon County,WI,20,26198
Vernon Parish,LA,12.7,24554
Victoria County,TX,16.6,29199
Vigo County,IN,16.7,25113
Vilas County,WI,31,33316
Vinton County,OH,18.6,21781
Virginia Beach city,VA,13.7,37776
Volusia County,FL,24.9,28517
Wabash County,IL,21.4,27781
Wabash County,IN,21.3,27149
Wabasha County,MN,22.6,34442
Wabaunsee County,KS,20.9,27876
Wadena County,MN,21.3,24214
Wagoner County,OK,16.8,29415
Wahkiakum County,WA,33,31110
Wake County,NC,12,40982
Wakulla County,FL,15.9,25733
Waldo County,ME,23.3,29674
Walker County,AL,19.5,23882
Walker County,GA,18.9,24247
Walker County,TX,13.8,18544
Walla Walla County,WA,18.7,29035
Wallace County,KS,24.2,27966
Waller County,TX,11.8,25401
Wallowa County,OR,29.7,30485
Walsh County,ND,21.5,34194
Walthall County,MS,19.9,21123
Walton County,FL,20.2,34475
Walton County,GA,15.7,27889
Walworth County,SD,24.3,32563
Walworth County,WI,18.4,32302
Wapello County,IA,18.4,26424
Ward County,ND,13.2,34923
Ward County,TX,13.6,25931
Ware County,GA,17.6,20411
Warren County,GA,23.1,23448
Warren County,IA,16,36496
Warren County,IL,20.2,25730
Warren County,IN,20.6,31104
Warren County,KY,13.1,28558
Warren County,MO,17.8,28641
Warren County,MS,17.2,25661
Warren County,NC,26.2,23432
Warren County,NJ,18.7,39802
Warren County,NY,22.9,35271
Warren County,OH,14.9,41792
Warren County,PA,23.5,28230
Warren County,TN,17.9,22802
Warren County,VA,16.8,32086
Warrick County,IN,17.9,37466
Wasatch County,UT,12.3,35641
Wasco County,OR,21,27445
Waseca County,MN,18.6,29929
Washakie County,WY,22.2,28101
Washburn County,WI,27.4,29584
Washington County,AL,19.7,26752
Washington County,AR,12.1,27790
Washington County,CO,21.4,27860
Washington County,FL,17.2,18401
Washington County,GA,17.8,20303
Washington County,IA,20,30547
Washington County,ID,25.9,22650
Washington County,IL,20.7,32838
Washington County,IN,17.3,25015
Washington County,KS,23.9,27841
Washington County,KY,18.5,26035
Washington County,MD,17.5,30464
Washington County,ME,24.8,25157
Washington County,MN,15.6,45822
Washington County,MO,17.2,20581
Washington County,MS,16.7,20174
Washington County,NC,25.3,23431
Washington County,NE,18.6,35145
Washington County,NY,20.1,28530
Washington County,OH,21.6,28782
Washington County,OK,19.8,30847
Washington County,OR,13.9,39679
Washington County,PA,21,35537
Washington County,RI,21.5,42869
Washington County,TN,18.8,29656
Washington County,TX,22,32625
Washington County,UT,22,29010
Washington County,VA,23.6,27524
Washington County,VT,20.2,35236
Washington County,WI,18.5,39055
Washington Parish,LA,18.5,20177
Washita County,OK,18.7,26265
Washoe County,NV,16.8,36071
Washtenaw County,MI,14.5,41399
Watauga County,NC,16.4,26882
Watonwan County,MN,20.5,28341
Waukesha County,WI,19.2,46073
Waupaca County,WI,21.3,32000
Waushara County,WI,25,28580
Wayne County,GA,16,21090
Wayne County,IA,22.5,25628
Wayne County,IL,22.2,26313
Wayne County,IN,19.5,26510
Wayne County,KY,21.8,25707
Wayne County,MI,15.8,27282
Wayne County,MO,24.3,19457
Wayne County,MS,17.6,23668
Wayne County,NC,16.9,25277
Wayne County,NE,16.7,27671
Wayne County,NY,19.5,31043
Wayne County,OH,18.3,27884
Wayne County,PA,24.6,27412
Wayne County,TN,19.9,20689
Wayne County,UT,22,22038
Wayne County,WV,21.7,21553
Waynesboro city,VA,17.6,27033
Weakley County,TN,19,22755
Webb County,TX,9.7,18466
Weber County,UT,11.9,27828
Webster County,GA,23.7,24102
Webster County,IA,18.8,26498
Webster County,KY,18.1,22911
Webster County,MO,15.7,22961
Webster County,MS,17.9,22011
Webster County,NE,23.4,29969
Webster County,WV,24,22054
Webster Parish,LA,20.2,18962
Weld County,CO,12.4,31793
Wells County,IN,18.6,28663
Wells County,ND,28.7,35134
West Baton Rouge Parish,LA,14.3,29697
West Carroll Parish,LA,19.4,22439
West Feliciana Parish,LA,15.5,26945
Westchester County,NY,17.4,57049
Westmoreland County,PA,23.3,34274
Westmoreland County,VA,25.6,32996
Weston County,WY,21.3,28531
Wetzel County,WV,23.2,22546
Wexford County,MI,19.6,25149
Wharton County,TX,17.4,25298
Whatcom County,WA,18,32267
Wheatland County,MT,25.4,21619
Wheeler County,GA,14.8,14654
Wheeler County,NE,28.5,29037
Wheeler County,OR,36.3,21702
Wheeler County,TX,19.8,27093
White County,AR,16.8,23702
White County,GA,23.3,27406
White County,IL,21.4,26746
White County,IN,20.3,27461
White County,TN,20.5,22040
White Pine County,NV,18.3,25675
Whiteside County,IL,21.3,29856
Whitfield County,GA,14.4,23974
Whitley County,IN,18.5,31843
Whitley County,KY,16,20547
Whitman County,WA,10.7,23560
Wibaux County,MT,25.8,25591
Wichita County,KS,20.2,29126
Wichita County,TX,15,24872
Wicomico County,MD,16.3,28080
Wilbarger County,TX,19,23696
Wilcox County,AL,20.3,16841
Wilcox County,GA,18.2,16183
Wilkes County,GA,23.7,24674
Wilkes County,NC,22.2,25202
Wilkin County,MN,19.7,34543
Wilkinson County,GA,20.2,22141
Wilkinson County,MS,17.8,15475
Will County,IL,13.5,36524
Willacy County,TX,14.3,14888
Williams County,ND,9.2,44235
Williams County,OH,19.2,27124
Williamsburg County,SC,21.7,18257
Williamsburg city,VA,15.7,29758
Williamson County,IL,19.5,28375
Williamson County,TN,13.5,52702
Williamson County,TX,12.4,37242
Wilson County,KS,22,27471
Wilson County,NC,18.7,24790
Wilson County,TN,16,34575
Wilson County,TX,16.5,32312
Winchester city,VA,15.9,30859
Windham County,CT,17.2,32732
Windham County,VT,23.9,32535
Windsor County,VT,24.2,36252
Winkler County,TX,12,24467
Winn Parish,LA,19.1,22107
Winnebago County,IA,22,28342
Winnebago County,IL,18,29278
Winnebago County,WI,16.8,32571
Winneshiek County,IA,21.1,32075
Winona County,MN,17.6,30013
Winston County,AL,21.9,22952
Winston County,MS,20.5,25263
Wirt County,WV,20.8,23568
Wise County,TX,15.1,29418
Wise County,VA,19.2,21500
Wolfe County,KY,19.9,14923
Wood County,OH,15.7,32431
Wood County,TX,27.5,29005
Wood County,WI,21.1,31425
Wood County,WV,20.9,27725
Woodbury County,IA,15.4,28688
Woodford County,IL,18.6,37170
Woodford County,KY,19.4,32264
Woodruff County,AR,23.4,23423
Woods County,OK,17.4,27427
Woodson County,KS,25.2,22672
Woodward County,OK,16.4,28915
Worcester County,MA,16.1,37574
Worcester County,MD,28.2,38080
Worth County,GA,19.9,24415
Worth County,IA,20.9,31949
Worth County,MO,25.9,26137
Wrangell City and Borough,AK,24.5,32286
Wright County,IA,23.1,29622
Wright County,MN,13,36260
Wright County,MO,19.6,19850
Wyandot County,OH,19.9,28541
Wyandotte County,KS,12.6,22335
Wyoming County,NY,18.6,27947
Wyoming County,PA,21.9,29584
Wyoming County,WV,22,22703
Wythe County,VA,22.1,27381
Yadkin County,NC,20.5,25218
Yakima County,WA,14,23459
Yakutat City and Borough,AK,21.1,32198
Yalobusha County,MS,21,20690
Yamhill County,OR,17.8,31314
Yancey County,NC,26.3,24487
Yankton County,SD,19.5,31772
Yates County,NY,21.3,28270
Yavapai County,AZ,32.5,30341
Yazoo County,MS,12.8,19972
Yell County,AR,18.1,22015
Yellow Medicine County,MN,20.8,29908
Yellowstone County,MT,17.4,34451
Yoakum County,TX,11.9,24582
Yolo County,CA,12.9,34515
York County,ME,21.2,36093
York County,NE,20.9,32975
York County,PA,18,32623
York County,SC,14.7,34010
York County,VA,16.6,41201
Young County,TX,21,27423
Yuba County,CA,13.1,25583
Yukon-Koyukuk Census Area,AK,15.7,22718
Yuma County,AZ,19.3,21758
Yuma County,CO,18.7,27955
Zapata County,TX,13.2,20169
Zavala County,TX,14.6,13835
Ziebach County,SD,9.6,16555
